evidence_id	dataset	cohort_definition	n_total	n_event	n_control	molecular_measure	endpoint	endpoint_timing	comparison	effect_measure	effect_estimate	ci_low	ci_high	p_value	q_value	model	covariates	unit_of_analysis	independence_issue	missingness	power_or_mde	source_raw_file	source_script	source_output	reproduced	claim_supported	claim_not_supported	risk_level	notes
UP-02	GSE151179	52 specimens / 33 patients, all treated with RAI post-thyroidectomy; 'rai uptake at the metastatic site: Yes/No' field	39	19	20	8-gene panel z-score	RAI uptake at the metastatic site (Yes/No)	post-thyroidectomy, RAI-avidity imaging	sample-level (tumour samples, non-independent)	Cohen's d	0.2665	-0.3884	0.8434	0.6837		Mann-Whitney U / bootstrap CI (AUC=0.5395)	none (unadjusted)	sample	32 patients contribute 39 tumour specimens (6 patients with >1, max 3); sample-level rows here are NOT independent replicates -- see UP-INDEP-* rows for the quantified clustering (ICC=0.0, design effect=1.0).			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse151179_uptake_at_met_site_2026_08_06.tsv; rai-response-genomics-atlas/results/reports/gse151179_uptake_at_met_site_brief_2026_08_06.md	exact	Direction consistent with hypothesis (uptake+ scores higher) but null in every comparison.	Panel is not shown to be associated with RAI uptake in this cohort; negative control (d=0.65) exceeds the tumour signal (d=0.37), and the association disappears after purity adjustment (see UP-07).	moderate	repeated specimens per patient not accounted
UP-03	GSE151179	52 specimens / 33 patients, all treated with RAI post-thyroidectomy; 'rai uptake at the metastatic site: Yes/No' field	17	11	6	8-gene panel z-score	RAI uptake at the metastatic site (Yes/No)	post-thyroidectomy, RAI-avidity imaging	sensitivity: primary tumours only	Cohen's d	-0.0249	-1.5053	1.0863	0.5249		Mann-Whitney U / bootstrap CI (AUC=0.3939)	none (unadjusted)	sample	32 patients contribute 39 tumour specimens (6 patients with >1, max 3); sample-level rows here are NOT independent replicates -- see UP-INDEP-* rows for the quantified clustering (ICC=0.0, design effect=1.0).			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse151179_uptake_at_met_site_2026_08_06.tsv; rai-response-genomics-atlas/results/reports/gse151179_uptake_at_met_site_brief_2026_08_06.md	exact	Direction consistent with hypothesis (uptake+ scores higher) but null in every comparison.	Panel is not shown to be associated with RAI uptake in this cohort; negative control (d=0.65) exceeds the tumour signal (d=0.37), and the association disappears after purity adjustment (see UP-07).	moderate	one specimen per patient by construction
UP-04	GSE151179	52 specimens / 33 patients, all treated with RAI post-thyroidectomy; 'rai uptake at the metastatic site: Yes/No' field	22	14	8	8-gene panel z-score	RAI uptake at the metastatic site (Yes/No)	post-thyroidectomy, RAI-avidity imaging	sensitivity: pre-RAI specimens only	Cohen's d	0.3366	-0.791	1.262	0.9734		Mann-Whitney U / bootstrap CI (AUC=0.4911)	none (unadjusted)	sample	32 patients contribute 39 tumour specimens (6 patients with >1, max 3); sample-level rows here are NOT independent replicates -- see UP-INDEP-* rows for the quantified clustering (ICC=0.0, design effect=1.0).			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse151179_uptake_at_met_site_2026_08_06.tsv; rai-response-genomics-atlas/results/reports/gse151179_uptake_at_met_site_brief_2026_08_06.md	exact	Direction consistent with hypothesis (uptake+ scores higher) but null in every comparison.	Panel is not shown to be associated with RAI uptake in this cohort; negative control (d=0.65) exceeds the tumour signal (d=0.37), and the association disappears after purity adjustment (see UP-07).	moderate	removes post-treatment sampling effect
UP-05	GSE151179	52 specimens / 33 patients, all treated with RAI post-thyroidectomy; 'rai uptake at the metastatic site: Yes/No' field	22	12	10	8-gene panel z-score	RAI uptake at the metastatic site (Yes/No)	post-thyroidectomy, RAI-avidity imaging	sensitivity: high-purity tumours only	Cohen's d	0.0312	-1.0644	0.7426	0.6682		Mann-Whitney U / bootstrap CI (AUC=0.4417)	none (unadjusted)	sample	32 patients contribute 39 tumour specimens (6 patients with >1, max 3); sample-level rows here are NOT independent replicates -- see UP-INDEP-* rows for the quantified clustering (ICC=0.0, design effect=1.0).			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse151179_uptake_at_met_site_2026_08_06.tsv; rai-response-genomics-atlas/results/reports/gse151179_uptake_at_met_site_brief_2026_08_06.md	exact	Direction consistent with hypothesis (uptake+ scores higher) but null in every comparison.	Panel is not shown to be associated with RAI uptake in this cohort; negative control (d=0.65) exceeds the tumour signal (d=0.37), and the association disappears after purity adjustment (see UP-07).	moderate	controls thyrocyte-content confounding
UP-06	GSE151179	52 specimens / 33 patients, all treated with RAI post-thyroidectomy; 'rai uptake at the metastatic site: Yes/No' field	13	6	7	8-gene panel z-score	RAI uptake at the metastatic site (Yes/No)	post-thyroidectomy, RAI-avidity imaging	NEGATIVE CONTROL: non-neoplastic thyroid	Cohen's d	0.6529	-0.3332	2.2865	0.1807		Mann-Whitney U / bootstrap CI (AUC=0.7381)	none (unadjusted)	sample	32 patients contribute 39 tumour specimens (6 patients with >1, max 3); sample-level rows here are NOT independent replicates -- see UP-INDEP-* rows for the quantified clustering (ICC=0.0, design effect=1.0).			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse151179_uptake_at_met_site_2026_08_06.tsv; rai-response-genomics-atlas/results/reports/gse151179_uptake_at_met_site_brief_2026_08_06.md	exact	Direction consistent with hypothesis (uptake+ scores higher) but null in every comparison.	Panel is not shown to be associated with RAI uptake in this cohort; negative control (d=0.65) exceeds the tumour signal (d=0.37), and the association disappears after purity adjustment (see UP-07).	moderate	expect no association
UP-07	GSE151179	39 tumour specimens, 32 patients	39			8-gene panel z-score	RAI uptake at the metastatic site (Yes/No)	post-thyroidectomy	ADJUSTED OLS: panel z ~ uptake + purity_class + driver_class (sample-level)	OLS beta (uptake term)	0.035184107169036125	-0.4404083910912604	0.5107766054293327	0.8811650927294145		OLS regression, sample-level	CIBERSORT purity class (low/high), driver class (fusion/pTERT/WT/other vs BRAF V600E)	sample	sample-level model on 39 specimens from 32 patients (clustering not modelled in this OLS; cluster-robust SE reported separately in UP-INDEP-03, 0.156 vs naive 0.175)			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse151179_uptake_at_met_site_2026_08_06.tsv; rai-response-genomics-atlas/results/reports/gse151179_uptake_at_met_site_brief_2026_08_06.md	exact		Once tumour purity is held constant, the RAI-uptake association is essentially zero (beta=0.035, P=0.88); purity itself is the dominant term (see UP-08). Coefficient is in panel-z units, not Cohen's d.	critical	AUDIT WITHDRAWAL (00_EXECUTIVE_DECISION.md Q5): the first-pass statement that purity is 'definitionally not a confounder because it is not associated with the outcome' is WITHDRAWN. P>0.05 is not evidence of no association; the only defensible statement is that adjustment for available purity did not attenuate this specific association.
UP-08	GSE151179	39 tumour specimens, 32 patients	39			CIBERSORT-derived tumour purity (leukocyte fraction proxy)	RAI uptake at the metastatic site (Yes/No)	post-thyroidectomy	ADJUSTED OLS: purity term (low vs high), same model as UP-07	OLS beta	-0.88	-1.28	-0.48	0.00019		OLS regression, sample-level	RAI uptake, driver class	sample	sample-level, 39 specimens / 32 patients, clustering not modelled in this OLS			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/reports/gse151179_uptake_at_met_site_brief_2026_08_06.md	approximately reproduced	Panel score is dominated by tumour purity (thyrocyte content), P~1.9e-4; this is the confounder that collapses the uptake association.		moderate	P value 1.9x10^-4 given as '1.9 x 10^-4' in the report brief prose; not present as a machine-readable row in the .tsv table (only the uptake-term row and its p-value are saved there). Effect estimate and CI transcribed from the brief's prose table.
UP-GENE-TPO	GSE151179	16 uptake-Yes vs 16 uptake-No patients (tumour samples)	32	16	16	TPO expression (single gene, patient-level)	RAI uptake at the metastatic site (Yes/No)	post-thyroidectomy	TPO, uptake Yes vs No	Cohen's d	0.5811			0.1269	0.5076	Mann-Whitney U, BH-corrected across 8 genes (AUC=0.6602)	none	patient	none (patient-level)			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse151179_uptake_per_gene_2026_08_06.tsv	exact	TPO and TG are the largest single-gene effects (both q>0.5, not significant after correction); SLC5A5 (NIS), the most mechanistically direct iodide-handling gene, is flat (d=0.06, q=0.95).		low	None of the 8 genes individually significant after BH correction.
UP-GENE-TG	GSE151179	16 uptake-Yes vs 16 uptake-No patients (tumour samples)	32	16	16	TG expression (single gene, patient-level)	RAI uptake at the metastatic site (Yes/No)	post-thyroidectomy	TG, uptake Yes vs No	Cohen's d	0.5796			0.0864	0.691	Mann-Whitney U, BH-corrected across 8 genes (AUC=0.6797)	none	patient	none (patient-level)			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse151179_uptake_per_gene_2026_08_06.tsv	exact	TPO and TG are the largest single-gene effects (both q>0.5, not significant after correction); SLC5A5 (NIS), the most mechanistically direct iodide-handling gene, is flat (d=0.06, q=0.95).		low	None of the 8 genes individually significant after BH correction.
UP-GENE-TSHR	GSE151179	16 uptake-Yes vs 16 uptake-No patients (tumour samples)	32	16	16	TSHR expression (single gene, patient-level)	RAI uptake at the metastatic site (Yes/No)	post-thyroidectomy	TSHR, uptake Yes vs No	Cohen's d	0.2822			0.7774	1.0	Mann-Whitney U, BH-corrected across 8 genes (AUC=0.5313)	none	patient	none (patient-level)			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse151179_uptake_per_gene_2026_08_06.tsv	exact	TPO and TG are the largest single-gene effects (both q>0.5, not significant after correction); SLC5A5 (NIS), the most mechanistically direct iodide-handling gene, is flat (d=0.06, q=0.95).		low	None of the 8 genes individually significant after BH correction.
UP-GENE-FOXE1	GSE151179	16 uptake-Yes vs 16 uptake-No patients (tumour samples)	32	16	16	FOXE1 expression (single gene, patient-level)	RAI uptake at the metastatic site (Yes/No)	post-thyroidectomy	FOXE1, uptake Yes vs No	Cohen's d	0.2326			0.7774	1.0	Mann-Whitney U, BH-corrected across 8 genes (AUC=0.5313)	none	patient	none (patient-level)			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse151179_uptake_per_gene_2026_08_06.tsv	exact	TPO and TG are the largest single-gene effects (both q>0.5, not significant after correction); SLC5A5 (NIS), the most mechanistically direct iodide-handling gene, is flat (d=0.06, q=0.95).		low	None of the 8 genes individually significant after BH correction.
UP-GENE-DIO1	GSE151179	16 uptake-Yes vs 16 uptake-No patients (tumour samples)	32	16	16	DIO1 expression (single gene, patient-level)	RAI uptake at the metastatic site (Yes/No)	post-thyroidectomy	DIO1, uptake Yes vs No	Cohen's d	0.2261			0.2503	0.6676	Mann-Whitney U, BH-corrected across 8 genes (AUC=0.6211)	none	patient	none (patient-level)			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse151179_uptake_per_gene_2026_08_06.tsv	exact	TPO and TG are the largest single-gene effects (both q>0.5, not significant after correction); SLC5A5 (NIS), the most mechanistically direct iodide-handling gene, is flat (d=0.06, q=0.95).		low	None of the 8 genes individually significant after BH correction.
UP-GENE-PAX8	GSE151179	16 uptake-Yes vs 16 uptake-No patients (tumour samples)	32	16	16	PAX8 expression (single gene, patient-level)	RAI uptake at the metastatic site (Yes/No)	post-thyroidectomy	PAX8, uptake Yes vs No	Cohen's d	0.2224			0.7774	1.0	Mann-Whitney U, BH-corrected across 8 genes (AUC=0.4688)	none	patient	none (patient-level)			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse151179_uptake_per_gene_2026_08_06.tsv	exact	TPO and TG are the largest single-gene effects (both q>0.5, not significant after correction); SLC5A5 (NIS), the most mechanistically direct iodide-handling gene, is flat (d=0.06, q=0.95).		low	None of the 8 genes individually significant after BH correction.
UP-GENE-NKX2-1	GSE151179	16 uptake-Yes vs 16 uptake-No patients (tumour samples)	32	16	16	NKX2-1 expression (single gene, patient-level)	RAI uptake at the metastatic site (Yes/No)	post-thyroidectomy	NKX2-1, uptake Yes vs No	Cohen's d	0.0827			0.8358	0.9552	Mann-Whitney U, BH-corrected across 8 genes (AUC=0.4766)	none	patient	none (patient-level)			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse151179_uptake_per_gene_2026_08_06.tsv	exact	TPO and TG are the largest single-gene effects (both q>0.5, not significant after correction); SLC5A5 (NIS), the most mechanistically direct iodide-handling gene, is flat (d=0.06, q=0.95).		low	None of the 8 genes individually significant after BH correction.
UP-GENE-SLC5A5	GSE151179	16 uptake-Yes vs 16 uptake-No patients (tumour samples)	32	16	16	SLC5A5 expression (single gene, patient-level)	RAI uptake at the metastatic site (Yes/No)	post-thyroidectomy	SLC5A5, uptake Yes vs No	Cohen's d	0.0618			0.9549	0.9549	Mann-Whitney U, BH-corrected across 8 genes (AUC=0.4922)	none	patient	none (patient-level)			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse151179_uptake_per_gene_2026_08_06.tsv	exact	TPO and TG are the largest single-gene effects (both q>0.5, not significant after correction); SLC5A5 (NIS), the most mechanistically direct iodide-handling gene, is flat (d=0.06, q=0.95).		low	None of the 8 genes individually significant after BH correction.
UP-LOGO-01	GSE151179	16 vs 16 patients, leave-one-gene-out panel scores	32			8-gene panel z-score minus one gene (8 variants)	RAI uptake at the metastatic site (Yes/No)	post-thyroidectomy	leave-one-gene-out (LOGO) stability, range across 8 dropped-gene variants	Cohen's d range	0.317-0.416 (all positive; full-panel d=0.373 for reference)					Mann-Whitney U per LOGO variant	none	patient	none			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse151179_uptake_logo_2026_08_06.tsv	exact	No single gene drives or destroys the (null) association; d stays in a narrow 0.317-0.416 band whichever gene is dropped.		low	Individual dropped-gene rows (DIO1 d=0.369 p=0.72; FOXE1 d=0.397 p=0.46; NKX2-1 d=0.416 p=0.42; PAX8 d=0.400 p=0.53; SLC5A5 d=0.373 p=0.53; TG d=0.317 p=0.66; TPO d=0.318 p=0.58; TSHR d=0.384 p=0.56) are all in the source table; summarised here as one robustness-check row rather than 8 separate claim rows since none individually differs from the full-panel result.
POW-GSE151179-01	GSE151179	16 uptake-Yes vs 16 uptake-No patients	32			8-gene panel z-score	RAI uptake at the metastatic site power/design calculation	post-thyroidectomy	power to detect observed d; MDE at 80% power; patients required at observed d	Cohen's d (observed) / MDE	0.373					two-sample t-test power calculation (16 vs 16, alpha=0.05, two-sided)		patient			observed d=0.373; power at observed d=0.176; d detectable at 80% power=1.025; patients/group needed at observed d=113; total patients needed=226	/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse151179_uptake_power_2026_08_06.tsv	exact	This cohort could only ever detect a very large effect (d>=1.0); its null result is uninformative, not evidence against the hypothesis. The ~226-patient design target is reused as the field-wide benchmark in the GSE138042 and synthesis-power figures.		moderate	
UP-INDEP-01	GSE151179	52 specimens / 33 patients total; 39 tumour specimens / 32 patients	39			specimen/patient structure (descriptive)	clustering structure underlying UP-01..UP-08		specimens per patient; patients with >1 tumour specimen	count						descriptive enumeration		patient	32 patients contribute 39 tumour specimens; 6 patients contribute >1 (max 3); the uptake label is recorded once per patient (0 patients with discordant labels), so a within-patient paired test is impossible -- only the between-patient contrast exists.			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/audit/05_gse151179_patient_structure.py	rai-response-genomics-atlas/results/tables/audit05_gse151179_structure_2026_08_06.tsv; audit/rai_integration_20260806/04b_GSE151179_INDEPENDENCE.md	exact			moderate	Foundational clustering counts for all GSE151179 sample-level rows (UP-02 especially).
UP-INDEP-02	GSE151179	39 tumour specimens, 32 patients	39			8-gene panel z-score (within-patient variance decomposition)	intraclass correlation of panel z within patient		ICC of panel z within patient; design effect; effective sample size	ICC	0.0					one-way random-effects ICC		patient/specimen	ICC=0.0 -> design effect=1.0 -> effective sample size unchanged at 39 (specimens from the same patient are not more similar in panel z than specimens from different patients, in this dataset)			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/audit/05_gse151179_patient_structure.py	rai-response-genomics-atlas/results/tables/audit05_gse151179_structure_2026_08_06.tsv; audit/rai_integration_20260806/04b_GSE151179_INDEPENDENCE.md	exact	Despite repeated specimens per patient, panel-z clustering by patient is negligible here (ICC=0), so the sample-level naive-SE inflation risk is small in this particular dataset -- though the primary analysis should still be patient-level on principle.		low	
UP-INDEP-03	GSE151179	39 tumour specimens, 32 patients	39			8-gene panel z-score	RAI uptake at the metastatic site (Yes/No)	post-thyroidectomy	sample-level uptake term: naive SE vs patient-cluster-robust (sandwich) SE	standard error	naive 0.1751; cluster-robust 0.156					OLS with cluster-robust (patient) sandwich SE, compared to naive OLS SE		sample (with patient-cluster correction)	cluster-robust SE (0.156) is actually SMALLER than the naive SE (0.175) here (SE inflation factor 0.891, i.e. deflation) -- a within-patient negative-correlation pattern, not the usual clustering inflation			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/audit/05_gse151179_patient_structure.py	rai-response-genomics-atlas/results/tables/audit05_gse151179_structure_2026_08_06.tsv; audit/rai_integration_20260806/04b_GSE151179_INDEPENDENCE.md	exact			low	Confirms sample-level rows (UP-02 etc.) are not artificially over-confident from ignoring clustering in this dataset; still recommend patient-level (UP-01) as primary.
UP-INDEP-04	GSE151179	16 uptake-Yes vs 16 uptake-No patients	32			8-gene panel z-score	RAI uptake at the metastatic site (Yes/No)	post-thyroidectomy	patient-level primary contrast, permutation test (10,000 label shuffles)	Cohen's d	0.373	-0.338	0.98	0.3107		patient-level permutation test, 10,000 shuffles	none	patient	none (patient-level, primary re-derivation)			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/audit/05_gse151179_patient_structure.py	rai-response-genomics-atlas/results/tables/audit05_gse151179_structure_2026_08_06.tsv; audit/rai_integration_20260806/04b_GSE151179_INDEPENDENCE.md	approximately reproduced	Permutation P (0.3107) is a distribution-free re-confirmation of the Mann-Whitney P (0.534, UP-01) for the same contrast; both null, though the two P-values differ because they test different null distributions (permutation of the mean-difference statistic vs rank-sum).		low	Reported as a corroborating re-analysis of UP-01, not a numerically identical repeat -- different test statistic, same data and same qualitative conclusion (null).
UP-INDEP-05	GSE151179	6 vs 7 non-neoplastic thyroid specimens, patient-level re-derivation of UP-06	13	6	7	8-gene panel z-score	negative control: non-neoplastic thyroid, RAI uptake label of the paired tumour		patient-level negative control	Cohen's d	0.653			0.1807		patient-level bootstrap/Mann-Whitney	none	patient	none (patient-level)			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/audit/05_gse151179_patient_structure.py	rai-response-genomics-atlas/results/tables/audit05_gse151179_structure_2026_08_06.tsv	approximately reproduced		Confirms UP-06 at patient level: the negative control's effect size (d=0.65) exceeds the tumour signal (d=0.37, UP-01), reinforcing that the nominal uptake association is not tumour-specific.	moderate	Values differ trivially from UP-06 (d=0.948 sample-level vs 0.653 patient-level) because UP-06 was computed at sample-level (6 vs 7 specimens) while this row is the patient-level re-derivation; both point the same direction.
G138-01	GSE138042	23 carcinomas with documented radioiodine outcome (Radiation/Iodine therapy status field), of 95 total sequenced libraries (also includes 17 benign follicular adenomas, 3 medullary carcinomas, and other malignant samples with no recorded RAI outcome)	23	13	10	8-gene panel z-score	radioresistant vs radiosensitive (RAIR annotation)	documented post-RAI outcome	PRIMARY: radioresistant vs radiosensitive (both radioiodine-treated)	Cohen's d	-0.4241102857921292	-1.444986900318223	0.42221581633935795	0.3364168335882751		Mann-Whitney U / bootstrap CI (5,000 draws), AUC=0.3364	none (unadjusted)	sample (one library per patient in this contrast)	none stated; 13 radioresistant vs 10 radiosensitive libraries, one per patient		detects d>=1.24 at 80% power; power at observed d=0.16	/data/rai_atlas/raw/GSE138042/GSE138042_mRNA_seq_thyroid.csv.gz; /data/rai_atlas/raw/GSE138042/mmc1.xlsx	rai-response-genomics-atlas/scripts/gse138042_rair_panel_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse138042_rair_panel_main_2026_08_06.tsv; rai-response-genomics-atlas/results/reports/gse138042_rair_panel_brief_2026_08_06.md	exact	Direction as hypothesised (refractory scores lower) but the head-to-head clinically-defined contrast is null; underpowered (detects only d>=1.24).	Cannot support a GSE138042-specific radioiodine-refractoriness claim.	moderate	This is the corrected primary analysis (revised same day after obtaining mmc1.xlsx clinical annotation); supersedes an uncorrected first-pass 13-vs-82 comparison that mixed in benign/medullary/RAI-outcome-unknown samples (see G138-03).
G138-02	GSE138042	13 radioresistant carcinomas vs 62 malignant carcinomas with any histology (adenoma and medullary excluded, RAI-outcome status not required for the comparator)	75	13	62	8-gene panel z-score	radioresistant vs all malignant (RAI outcome not required in comparator)		sensitivity: malignant comparator only (no adenoma/medullary)	Cohen's d	-0.9433219550452372	-1.791143590324162	-0.42790284928664557	0.0004091806727964233		Mann-Whitney U / bootstrap CI	none	sample	none stated			/data/rai_atlas/raw/GSE138042/GSE138042_mRNA_seq_thyroid.csv.gz; /data/rai_atlas/raw/GSE138042/mmc1.xlsx	rai-response-genomics-atlas/scripts/gse138042_rair_panel_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse138042_rair_panel_main_2026_08_06.tsv; rai-response-genomics-atlas/results/reports/gse138042_rair_panel_brief_2026_08_06.md	exact		CONFOUNDED comparator: 52 of the 62 malignant comparator samples have no recorded RAI outcome, so this large/significant effect is confounded by disease-stage composition (advanced-refractory vs mostly-early-primary-resection comparator), not a clean radioiodine-specific contrast. Must not be presented as the headline GSE138042 result.	high	Removing benign adenomas barely moves the effect vs the raw 82-comparator contrast (G138-03: d=-1.03 -> here d=-0.94), showing the large effect is not an adenoma artefact -- but it IS explained by advanced-vs-early disease stage composition.
G138-03	GSE138042	13 radioresistant carcinomas vs all 82 remaining libraries in the 95-library series (includes 17 benign adenomas, 3 medullary carcinomas, and malignant samples with no RAI outcome)	95	13	82	8-gene panel z-score	radioresistant vs whole unselected cohort		context: panel z, RAI-refractory vs whole unselected cohort	Cohen's d	-1.0334839856589948	-1.8040202532246432	-0.5170713282356852	0.00016790469002593588		Mann-Whitney U / bootstrap CI	none	sample	none stated			/data/rai_atlas/raw/GSE138042/GSE138042_mRNA_seq_thyroid.csv.gz; /data/rai_atlas/raw/GSE138042/mmc1.xlsx	rai-response-genomics-atlas/scripts/gse138042_rair_panel_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse138042_rair_panel_main_2026_08_06.tsv; rai-response-genomics-atlas/results/reports/gse138042_rair_panel_brief_2026_08_06.md	exact		This is the FIRST-PASS (uncorrected) comparator; it mixes benign follicular adenoma and medullary carcinoma into the reference group and must not be reported as a radioiodine-specific finding. Superseded by G138-01 as the RAI-response claim.	high	Retained in the output table as context/history, explicitly labelled 'context' by the source script, not as a claim.
G138-04	GSE138042	13 radioresistant vs 82 remaining libraries	95	13	82	composition score: immune-transcript signature	immune content		composition check: immune content, RAI-refractory vs rest	Cohen's d	-0.6465			0.0494		Mann-Whitney U	none	sample				/data/rai_atlas/raw/GSE138042/GSE138042_mRNA_seq_thyroid.csv.gz; /data/rai_atlas/raw/GSE138042/mmc1.xlsx	rai-response-genomics-atlas/scripts/gse138042_rair_panel_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse138042_rair_panel_main_2026_08_06.tsv	exact	Refractory tumours have lower immune content (nominal P=0.049); used as a covariate in the adjusted model (G138-06).		moderate	CI not reported in source table for this row.
G138-05	GSE138042	13 radioresistant vs 82 remaining libraries	95	13	82	composition score: stromal-transcript signature	stromal content		composition check: stromal content, RAI-refractory vs rest	Cohen's d	0.3215			0.2578		Mann-Whitney U	none	sample				/data/rai_atlas/raw/GSE138042/GSE138042_mRNA_seq_thyroid.csv.gz; /data/rai_atlas/raw/GSE138042/mmc1.xlsx	rai-response-genomics-atlas/scripts/gse138042_rair_panel_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse138042_rair_panel_main_2026_08_06.tsv	exact		No significant stromal-content difference.	low	CI not reported in source table for this row.
