claim_id,file,section,line,original_text,claim_type,evidence_required,evidence_available,support_level,problem,recommended_action,replacement_text,priority
COMP-031,10_full_manuscript_compiled.md,Reviewer Q&A (A3),689,**A3.** Spearman rho between 8-gene RAI score and Yoo 2016 BRS in the K2 cohort is 0.49 -- partial correlation (not redundant).,descriptive,"correlation between panel score and an existing published RAI-related score (Yoo 2016 BRS), not against measured RAI outcome",K2 cohort correlation analysis,supported,"Uses 'RAI score' as shorthand for the panel score; not itself a claim about predicting measured RAI response, but the naming again risks being read as such.","Consistently rename 'RAI score' to 'thyroid-lineage/iodine-handling score' or 'panel score' throughout, per COMP-003 fix.",Spearman rho between the 8-gene thyroid-lineage panel score and Yoo 2016 BRS in the K2 cohort is 0.49 -- partial correlation (not redundant).,P2 moderate
COMP-032,10_full_manuscript_compiled.md,Paper 2 audit boundary note,1036,"Papillary thyroid carcinoma carries generally favorable overall survival, yet the BRAF/RAS-negative compartment -- approximately 23% of cases -- remains mechanistically untethered from the ATA risk framework, leaving radioiodine decisions in this group without molecular guidance.",descriptive,"background/motivation statement (Paper 2 boundary document, not Paper 1 body text)",n/a,supported,Out of scope for Paper 1 body claims (this is a boundary/audit note referencing the same framing); flagged only because it reuses the driver-negative/RAI-decision motivation language also seen in COMP-002/006/008.,"No action needed for Paper 1 registry; if reused verbatim in Paper 1, apply the COMP-002 fix.",n/a,P3 minor
CL-001,08_cover_letter.md,"Cover letter, para 2",19,"We submit this work because a central problem in differentiated thyroid cancer remains unresolved: radioiodine is administered on the basis of clinicopathological risk, yet the tumour's retained capacity for thyroid-lineage and iodine-handling function is rarely measured directly before repeated treatment.",descriptive,background/motivation,field-standard background,supported,None.,No action needed.,n/a,P3 minor
CL-002,08_cover_letter.md,"Cover letter, para 2",19,"Our study identifies a driver-orthogonal lineage state that is reproducible across transcriptomic, epigenomic, proteomic and single-cell datasets and that aligns with radioiodine-refractory tumour biology.",external-validation,'aligns with radioiodine-refractory tumour biology' -- hedged wording matching CLAIM_LANGUAGE_MATRIX preferred phrasing,"GSE151179 post-RAI anchor (d~-1.0) + new TCGA structural-event association (GT3, OR 0.221-0.224 in RAI-treated patients)",supported,"Uses the CLAIM_LANGUAGE_MATRIX-preferred 'aligns with' wording; consistent with GT3 (prognostic association within RAI-treated patients). No conflict, but should not be read as implying RAI-response prediction (GT2).",No action needed; keep as a model for correct hedging elsewhere in this registry's P0/P1 fixes.,n/a,P3 minor
CL-003,08_cover_letter.md,"Cover letter, para 3",21,"Papillary thyroid carcinoma remains clinically heterogeneous despite generally favorable overall survival, and current risk frameworks offer limited mechanistic guidance for the BRAF/RAS-negative compartment.",descriptive,"background/motivation, reused from older abstract",n/a,supported,None.,No action needed.,n/a,P3 minor
CL-004,08_cover_letter.md,"Cover letter, para 3",21,"In this study, we address that gap using an 8-gene RAI-responsiveness panel grounded in canonical thyroid differentiation biology and validated across TCGA-THCA, MSK-IMPACT thyroid cancer, Korean cohorts, cBioPortal structural-variant data, HM450 methylation data, and external single-cell datasets.",predictive,"'RAI-responsiveness panel' naming, in the current (2026-07-30) cover letter, describing the panel as 'validated'",GT2: no detectable association with initial RAI response; CLAIM_LANGUAGE_MATRIX also flags 'validated' as requiring independence/endpoint justification,contradicted,"This sentence is leftover boilerplate from the superseded abstract/compiled draft (identical to COMP-003/009) and was NOT updated when the cover letter was otherwise revised on 2026-07-30 alongside NC v2. It both (a) uses the discredited 'RAI-responsiveness panel' name and (b) claims the panel is 'validated' across all these cohorts, which overstates reproducibility-only evidence. This is a submission-critical document (cover letter) and is currently inconsistent with the corrected terminology already used in the main NC v2 draft.","Replace with NC v2's corrected terminology: 'thyroid differentiation and iodine-handling panel,' and replace 'validated' with 'reproduced' per CLAIM_LANGUAGE_MATRIX, matching the main-draft wording exactly.","In this study, we address that gap using an 8-gene thyroid differentiation and iodine-handling panel grounded in canonical thyroid biology and reproduced across TCGA-THCA, MSK-IMPACT thyroid cancer, Korean cohorts, cBioPortal structural-variant data, HM450 methylation data, and external single-cell datasets.",P0 fatal
CL-005,08_cover_letter.md,"Cover letter, para 3",23,"Third, it connects these molecular findings to a clinically interpretable reflex-testing framework that can prioritize selective fusion sequencing and support prospective evaluation of epigenetic-targeted RAI re-induction.",treatment-effect,"forward-looking framework statement, hedged as 'support prospective evaluation of'",n/a,not testable,None (appropriately hedged).,No action needed.,n/a,P3 minor
RQA-001,09_reviewer_qa.md,Q&A A1,16,"The 8-gene panel was selected from the `[TDS-core]` sub-category (16 genes representing canonical thyroid differentiation transcripts) based on Yoo et al. (2016) RAI-uptake biology, not driver mutational status.",mechanistic,gene-selection rationale,Yoo 2016 citation,supported,None.,No action needed.,n/a,P3 minor
RQA-002,09_reviewer_qa.md,Q&A A1,20,"This bias is appropriate for the clinical question (RAI decision-making) and is leak-free in cross-validation: 5-fold AUC = 0.962 (8-gene) vs 0.975 (16-gene full TDS-core), ΔAUC = 0.013 NS.",methodological,cross-validated DM1-classification AUC (not RAI-response AUC),internal cross-validation,supported,"Same distinction issue as COMP-030: AUC is for DM1/DM2 classification, not RAI response; phrase 'RAI decision-making' should not be conflated with a demonstrated RAI-response predictive statistic.","Add a clarifying footnote distinguishing DM1-classification performance from RAI-response prediction, which has not been demonstrated (GT2).",n/a,P2 moderate
RQA-003,09_reviewer_qa.md,Q&A A3,24,**A3.** Spearman rho between 8-gene RAI score and Yoo 2016 BRS in the K2 cohort is 0.49 -- partial correlation (not redundant).,descriptive,"correlation with a published proxy score, not with measured RAI response",K2 cohort correlation,supported,Uses 'RAI score' shorthand; recommend renaming per COMP-003/031 for consistency across all current submission documents.,Rename 'RAI score' to 'thyroid-lineage panel score' for consistency with NC v2 terminology.,Spearman rho between the 8-gene thyroid-lineage panel score and Yoo 2016 BRS in the K2 cohort is 0.49 -- partial correlation (not redundant).,P3 minor
FIGNC-001,05_figure_captions_NC.md,Fig 1 caption (B),21,"(B) TIERA67 -> 8-gene panel curation. Sankey flow diagram from the TIERA67 67-gene candidate pool ... to the final 8-gene RAI-responsiveness panel: SLC5A5, TPO, TG, TSHR, PAX8, NKX2-1, FOXE1, DIO1.",predictive,figure caption panel label 'RAI-responsiveness panel',GT2: no detectable association with initial RAI response,contradicted,"Same P0 naming issue as COMP-003/017 and CL-004, in a figure caption that would appear directly in the submitted PDF.","Apply the same rename as COMP-003; verify the actual rendered figure text/label is also updated, not just the caption markdown.","(B) TIERA67 -> 8-gene panel curation. Sankey flow diagram from the TIERA67 67-gene candidate pool ... to the final 8-gene thyroid differentiation and iodine-handling panel: SLC5A5, TPO, TG, TSHR, PAX8, NKX2-1, FOXE1, DIO1.",P0 fatal
FIGNC-002,05_figure_captions_NC.md,Fig 1 caption (B),21,"The panel is the TDS-core sub-category and was selected on the Yoo 2016 (PLOS Genet) RAI-uptake biological prior, independent of any subsequent dedifferentiation gene list (reverse-causality control; see Methods).",mechanistic,gene selection rationale,Yoo 2016 citation,supported,None.,No action needed.,n/a,P3 minor
FIGNC-003,05_figure_captions_NC.md,Fig 3 caption (D),121,DM1 distributes preferentially into the ATA intermediate tier -- the tier with the largest current RAI-decision uncertainty (Haugen 2016; Ringel 2025 ATA 2025 update) -- supporting DM1 as an orthogonal molecular axis to the current clinico-pathological risk framework.,predictive,implies DM1 status is clinically informative specifically for RAI decisions in the ATA-intermediate tier,ATA-tier distribution of DM1 only; no direct link to RAI response/refractoriness in this tier,unsupported,"The word 'supporting' implies the ATA-tier distribution finding itself supports DM1's relevance to RAI decision-making, but this is an indirect inference (tier distribution, not RAI outcome). Should be softened, and should not be conflated with the null RAI-response association (GT2).","Soften to state that DM1 is enriched in the tier where RAI decisions are currently most uncertain, without implying this demonstrates RAI-decision utility.",DM1 distributes preferentially into the ATA intermediate tier -- the tier with the largest current radioiodine-decision uncertainty -- identifying it as an orthogonal molecular axis to the current clinico-pathological risk framework; whether this axis improves radioiodine decision-making has not been directly tested.,P1 major
FIGNC-004,05_figure_captions_NC.md,Fig 6 caption (D),125,"(D) DM1-like state in post-radioiodine refractory disease (GSE151179). Boxplot of the thyroid-differentiation score in pre- versus post-RAI samples from GSE151179: post-RAI thyroid_diff Cohen's d = -1.01, Mann-Whitney p = 0.0001.",external-validation,GSE151179 pre/post-RAI comparison,existing analysis,supported,None.,No action needed.,n/a,P3 minor
FIGNC-005,05_figure_captions_NC.md,"Fig 6 caption (D), interpretive line",125,"The post-RAI dedifferentiation profile recapitulates the DM1 transcriptional state, providing an external clinical anchor that the DM1 axis names the same biology that defines RAI-refractory progression.",causal,asserts the DM1 axis 'names the same biology that defines RAI-refractory progression' -- an identity/causal claim beyond a correlational anchor,"GSE151179 cross-sectional pre/post-RAI comparison only (correlational, not the same patients longitudinally, not a treatment-interaction test)",unsupported,"This is a stronger claim than the NC v2 main-text framing ('biological anchor rather than ... validated response-prediction model', NCv2-033). Saying the axis 'names the same biology that defines RAI-refractory progression' asserts biological identity/causation from a cross-sectional group comparison. Per project CLAUDE.md, GSE151179 is 'a post-RAI-refractory transcriptional alignment and biological anchor, not prospective prediction' -- this caption oversteps that boundary, and is further undercut by GT2 (no association with initial RAI response) and GT4 (treatment interaction not estimable).",Rewrite using the NC v2 main-text's correctly hedged language ('resembles the transcriptional state observed after clinical RAI failure... we interpret it as a biological anchor rather than a validated response-prediction model').,"The post-RAI thyroid-differentiation shift resembles the DM1 transcriptional state, providing an external biological anchor consistent with radioiodine-refractory biology; this cross-sectional comparison does not establish that the DM1 axis predicts or defines RAI-refractory progression.",P0 fatal
FIGNC-006,05_figure_captions_NC.md,Fig 6 caption (F),129,"(F) Prospective DM1-stratified trial schema. Schematic of a proposed prospective DM1-stratified RAI trial, including DM1-status determination (RNA assay) at biopsy, randomization within DM1 to RAI-only vs RAI + decitabine, and primary endpoint (structural disease recurrence at 24 months).",treatment-effect,proposed future trial design (explicitly a 'schema'),"n/a (forward-looking design, not a result)",not testable,"Explicitly labeled 'proposed' / 'schema'; appropriate as an aspirational figure panel, not a claim of current evidence.","No action needed; ensure the rendered figure panel is also explicitly labeled 'proposed, not conducted.'",n/a,P3 minor
